Fetching trades for KXTRUMPADMINLEAVE-26DEC31-PBON on April 1st–2nd, 2026...
Fetched 1000 trades (total so far: 1000)
Fetched 926 trades (total so far: 1926)

Total trades: 1926

Time (ET)                        Side    Contracts  Yes Price   No Price
------------------------------------------------------------------------
2026-03-31 20:14:00.038995 EDT   no              6      0.46       0.54
2026-03-31 20:17:23.498843 EDT   yes            10      0.47       0.53
2026-03-31 20:23:26.488383 EDT   yes             6      0.47       0.53
2026-03-31 20:33:32.224032 EDT   yes             1      0.47       0.53
2026-03-31 20:33:32.224032 EDT   yes             1      0.47       0.53
2026-03-31 20:38:44.064927 EDT   no             21      0.46       0.54
2026-03-31 20:41:06.697967 EDT   yes             1      0.47       0.53
2026-03-31 20:41:06.697967 EDT   yes            19      0.47       0.53
2026-03-31 21:02:52.728429 EDT   yes             2      0.47       0.53
2026-03-31 21:18:35.328469 EDT   yes             4      0.47       0.53
2026-03-31 21:18:35.328469 EDT   yes             3      0.47       0.53
2026-03-31 21:18:35.328469 EDT   yes             2      0.47       0.53
2026-03-31 21:18:35.328469 EDT   yes             1      0.47       0.53
2026-03-31 21:24:34.704386 EDT   yes             4      0.47       0.53
2026-03-31 21:24:34.704386 EDT   yes             4      0.47       0.53
2026-03-31 21:33:02.376969 EDT   yes             1      0.47       0.53
2026-03-31 21:33:02.376969 EDT   yes             2      0.47       0.53
2026-03-31 21:33:02.376969 EDT   yes             9      0.48       0.52
2026-03-31 21:56:11.854450 EDT   yes             1      0.47       0.53
2026-03-31 21:56:11.854450 EDT   yes             1      0.47       0.53
2026-03-31 21:56:11.854450 EDT   yes            18      0.48       0.52
2026-03-31 22:02:20.372995 EDT   no             19      0.46       0.54
2026-03-31 22:02:20.372995 EDT   no             25      0.46       0.54
2026-03-31 22:02:20.372995 EDT   no              2      0.46       0.54
2026-03-31 22:02:20.372995 EDT   no             11      0.45       0.55
2026-03-31 22:02:20.372995 EDT   no             27      0.46       0.54
2026-03-31 22:02:20.372995 EDT   no             17      0.46       0.54
2026-03-31 22:02:20.372995 EDT   no             15      0.46       0.54
2026-03-31 22:02:20.372995 EDT   no              4      0.47       0.53
2026-03-31 22:04:03.416302 EDT   no              3      0.45       0.55
2026-03-31 22:04:03.416302 EDT   no             18      0.45       0.55
2026-03-31 22:04:03.416302 EDT   no             18      0.45       0.55
2026-03-31 22:04:03.416302 EDT   no              1      0.46       0.54
2026-03-31 22:13:20.674619 EDT   no              1      0.45       0.55
2026-03-31 22:13:20.674619 EDT   no              8      0.45       0.55
2026-03-31 22:25:53.247435 EDT   yes             1      0.46       0.54
2026-03-31 22:25:53.247435 EDT   yes             2      0.47       0.53
2026-03-31 22:25:53.247435 EDT   yes             3      0.47       0.53
2026-03-31 22:38:44.718624 EDT   yes             1      0.46       0.54
2026-03-31 22:38:44.718624 EDT   yes             1      0.47       0.53
